2021年10月22日15时7分10秒	JJparents-1  执行步骤:等待报名
2021年10月22日15时7分8秒	JJparents-1  执行步骤:点开报名界面
2021年10月22日15时7分8秒	JJparents-1  执行步骤:获取进入场
2021年10月22日15时7分8秒	JJparents-1  执行步骤:更新昵称
2021年10月22日15时7分8秒	JJparents-1  执行步骤:更新金币数
2021年10月22日15时6分3秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月22日15时5分56秒	JJparents-1  执行步骤:登录成功
2021年10月22日15时5分6秒	JJparents-1  执行步骤:正在登录
2021年10月22日15时5分6秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月22日15时3分4秒	JJparents-1  执行步骤:运行JJ斗地主app
2021年10月22日15时3分4秒	JJparents-1  执行步骤:绑定模拟器
2021年10月22日15时3分4秒	绑定模拟器 name:JJparents-1 hwnd:787848
2021年10月22日15时2分54秒	JJparents-1  执行步骤:打开模拟器
2021年10月22日15时2分54秒	JJparents-1  执行步骤:关闭模拟器
